Datetime,Text,Username,Retweets,Location,Hashtags
17:12:31 12:20:03,"Enjoy ""Own Your Success like a Hero 2"" @ https://t.co/8cmdkB6Mmh  #Education #Unique #betterways #comprehension #vote #for #your #success #buy #now #a #copy #today #shopping #gift #people #holiday Retweet, Please!!!",vijaysharma1122,1,"Chicago, IL- West-Suburb","['Education', 'Unique', 'betterways', 'comprehension', 'vote', 'for', 'your', 'success', 'buy', 'now', 'a', 'copy', 'today', 'shopping', 'gift', 'people', 'holiday']"
17:12:31 12:13:07,"Begin your new year with joy, happiness, love and GREEN! Vote midgetME for MWA 2017! https://t.co/WKQhEnAufy #mwa #green #vote",midgetMEdotcom,0,"Kuala Lumpur, Malaysia","['mwa', 'green', 'vote']"
17:12:31 12:10:25,"RT @SandeeP__Vns: आपकी #नजर में वर्ष 2017 की इन #12_खबरों मे से सबसे बड़ी व खास खबर कौन सी थी...
● कृपया 👉 वोट (#Vote) और रीट्वीट (#Retweet) 👈 जरुर करे...
●● #आप_सभी की राय #महत्वपूर्ण है...
●● #बाकि_खबरों के लिए #स्क्रॉल करिये..
👇👇👇👇👇👇👇 1/3",getretweet,0,Chicago IL USA,"['नजर', '12_खबरों', 'Vote', 'Retweet', 'आप_सभी', 'महत्वपूर्ण', 'बाकि_खबरों', 'स्क्रॉल']"
17:12:31 12:04:14,This coming New Year I hope to god everyone does not forget to go out and VOTE!! Please do not for get to VOTE!! #vote,RZturbo69,1,United States redondo bech ,['vote']
17:12:31 12:03:09,"Our year-in-review video will be live streamed today on YouTube &amp; Facebook at 1:00 p.m.! So, now is your last chance to get in your vote for best &amp; worst of this year! What do you want us to talk about? #2017inReview #vote",dallas_geek,0,"Dallas, TX","['2017inReview', 'vote']"
17:12:31 12:01:29,Vote for your favourite Irish Gin of 2017 https://t.co/VP8cvZUt7A #irishgin #gin #vote #voting #Ireland https://t.co/HDiUEO5ELP,the_ginthusiast,3,"Meath, Ireland","['irishgin', 'gin', 'vote', 'voting', 'Ireland']"
17:12:31 12:01:17,Good Mornin! Is today the day you decide to vote term limits for senators. #vote #politics #2020,MeForSenate,0,,"['vote', 'politics']"
17:12:31 12:00:24,"#amazon, Enjoy @ https://t.co/h3MQZY8rBq  #Backtoschool  #students #University #College #School  #eBook #Parents #mind #power #success #mindset #vote #for #your #success #buy #now #a #copy #today #shopping #gift #people #holiday Retweet, please!!!",vijaysharma1122,1,"Chicago, IL- West-Suburb","['amazon', 'Backtoschool', 'students', 'University', 'College', 'School', 'eBook', 'Parents', 'mind', 'power', 'success', 'mindset', 'vote', 'for', 'your', 'success', 'buy', 'now', 'a', 'copy', 'today', 'shopping', 'gift', 'people', 'holiday']"
17:12:31 11:50:34,"【署名開始！】

X JAPAN: 東京ドーム公演 ！

https://t.co/C6Ed2Ze3xS

#WeAreX #Vote 
@YoshikiOfficial 
@xjapanofficial",XJAPAN_INFO,0,千葉 館山市,"['WeAreX', 'Vote']"
17:12:31 11:48:46,"ஓட்டு போட மொபைல் செயலி வெளியிடுங்கள் 
#தேர்தல் கமிஷனுக்கு மக்களின் வேண்டுகோள் 
#vote by mobile application
@vikatan @JuniorVikatan",sankar81222,0,"Kovilpatti, India","['தேர்தல்', 'vote']"
17:12:31 11:48:46,Can #CrystalPalace halt #ManCity dominance today? #CRYMCI #Palace #Cityzens #Eagles #PremierLeague #Football #Vote and #Retweet please,talkingsport1,0,"London, England","['CrystalPalace', 'ManCity', 'CRYMCI', 'Palace', 'Cityzens', 'Eagles', 'PremierLeague', 'Football', 'Vote', 'Retweet']"
17:12:31 11:47:47,"🌹🇺🇸🇺🇸 Hillary Clinton's Thread🇺🇸🇺🇸💖

#OnwardTogether 

#StillWithHer

#HRC #HillaryClinton 

#HappyNewYear2018 

#BlueWave2018 

#BlueTsunami2018 

#FlipItBlue 

#VoteDem

#VOTE #Democrat FOR ALL Americans

#VotingRights 

Vote in ALL elections!

Vote for our country 🔻 https://t.co/bvyzF3garq",LindaKWS1,0,Texas,"['OnwardTogether', 'StillWithHer', 'HRC', 'HillaryClinton', 'HappyNewYear2018', 'BlueWave2018', 'BlueTsunami2018', 'FlipItBlue', 'VoteDem', 'VOTE', 'Democrat', 'VotingRights']"
17:12:31 11:44:35,"@narendramodi  #MannKiBaat #vote bank &amp; appeasement politics doing injustice2Muslim Mahilas#SubkaSaath,SubkaVikash https://t.co/T6xjlxw4Zo",pramodsworld1,1,Guwahati(ASSAM),"['MannKiBaat', 'vote']"
17:12:31 11:42:31,"While 2018 likely holds more attacks on people &amp; planet &amp; more theft of profits, it also holds more opportunities for #US to help each other, to #collaborate as we continue to #PERSIST #BuildCommunity  #Engage #VOTE https://t.co/xxLrJCpY2A #2018IsHere #Act #Bees #OurSharedFuture",Jerry33,0,,"['US', 'collaborate', 'PERSIST', 'BuildCommunity', 'Engage', 'VOTE', '2018IsHere', 'Act', 'Bees', 'OurSharedFuture']"
17:12:31 11:34:43,"[INSTA] 05.12.17 Heedo

Las verdaderas habilidades de Ungjae de Imfact
¡El lindo hyung lleno de Aegyo! 
#Imfact #BIG #Vote #Ungjae

Vía: Ig de Heedo
Cr: @BoysInGroove_Fr 
Trans: Cris B.I.G Spain
Coged con créditos 

https://t.co/vybuNkMOb4",BIG5_Spain,1,,"['Imfact', 'BIG', 'Vote', 'Ungjae']"
17:12:31 11:19:18,@aes_eren @marcatribun #vote İskenderun Teknik,Bnymnsmsk1905,0,"İskenderun, Türkiye",['vote']
17:12:31 11:13:28,@marcatribun #vote İskenderun Teknik,uAlihan1905,0,"İskenderun, Türkiye",['vote']
17:12:31 11:12:58,#samvad #Kejriwal #arvindkejriwal #AAPTransformingDelhi #AAM #aamadmi #janta #desi #faltu #Vikas #pareshani #matlabi #vote KOI HAI? https://t.co/c2FjDGodNT,sharmaamity,0,India,"['samvad', 'Kejriwal', 'arvindkejriwal', 'AAPTransformingDelhi', 'AAM', 'aamadmi', 'janta', 'desi', 'faltu', 'Vikas', 'pareshani', 'matlabi', 'vote']"
17:12:31 11:12:55,@marcatribun #vote Iskenderun Teknik,_Godkiller_,0,,['vote']
17:12:31 11:09:03,UN to #vote on #North #Korea #sanctions #targeting #oil https://t.co/IVoeg75TAO #conflicts #davidleemiller #foxnews,TheTribunePost,0,,"['vote', 'North', 'Korea', 'sanctions', 'targeting', 'oil', 'conflicts', 'davidleemiller', 'foxnews']"
17:12:31 11:08:25,@marcatribun #vote iskenderun teknik,Y_i_MErenBirkan,0,,['vote']
17:12:31 11:08:13,@marcatribun #vote iskenderun teknik,yckoksoken,0,,['vote']
17:12:31 11:08:02,@marcatribun #vote İskenderun Teknik !,ACD001,0,İskenderun,['vote']
17:12:31 11:00:53,"After Net Neutrality Vote, Fake Comments Are Still Flooding US Federal Websites #vote https://t.co/73k0l6eFDe (via https://t.co/kWSohz5eFZ)",AlphaNAction513,0,"Cincinnati, OH",['vote']
17:12:31 10:54:45,Your #vote In Next #Elections #Rajinikanth #kamalhassan #TamilNadu @rameshlaus,kriyakumaravel,1,HOSUR,"['vote', 'Elections', 'Rajinikanth', 'kamalhassan', 'TamilNadu']"
